Drug, SLEM, GI50
Docetaxel, 22.4634, -6.614000000
Vinorelbine, 21.2787, -6.712850000
Everolimus, 21.1625, -8.000000000
Temsirolimus, 20.2333, -8.093800000
Midostaurin, 19.699, -3.798183333
Eribulin, 18.6958, -8.627300000
Irinotecan, 18.5869, -5.498371429
Nilotinib, 17.5154, -5.028650000
Idarubicin, 17.4557, -8.178900000
Dexamethasone, 17.0044, -4.000000000
Olaparib, 16.8705, -4.017300000
Epirubicin, 16.8705, -6.593050000
Doxorubicin, 16.8418, -7.142751828
Fulvestrant, 16.8301, -4.000000000
Etoposide, 16.8301, -5.393570588
Daunorubicin, 16.7953, -7.403951648
Sonidegib, 16.6485, -4.841500000
Pazopanib, 16.5678, -5.302633333
Dasatinib, 16.3682, -7.883616667
Bosutinib, 16.261, -6.498900000
Exemestane, 16.1464, -4.628650000
Sorafenib, 16.0633, -5.462200000
Dactinomycin, 16.0211, -8.391950515
Lapatinib, 15.7035, -6.361500000
Topotecan, 15.4015, -7.848137500
Afatinib, 15.3772, -8.000000000
Axitinib, 15.2964, -4.954400000
Vemurafenib, 15.2876, -5.406833333
Methotrexate, 15.0875, -7.407070968
Pemetrexed, 15.0341, -7.593450000
Toremifene, 14.4872, -4.756400000
Tamoxifen, 14.4382, -5.133069231
Erlotinib, 14.0077, -6.717240000
Anastrozole, 13.5534, -4.000000000
Mitomycin, 13.1977, -6.829285263
Letrozole, 13.1612, -3.150500000
Trifluridine, 12.4309, -5.885150000
Mitoxantrone, 12.4107, -7.941175000
Capecitabine, 12.4048, -4.000000000
Tretinoin, 11.6458, -4.313760000
Gemcitabine, 11.6382, -7.855020000
Cytarabine, 11.5923, -6.549411828
Floxuridine, 11.3613, -6.525962500
Chlorambucil, 11.0788, -4.896812245
Melphalan, 11.0586, -5.078311765
Tegafur, 10.8514, -2.766871429
Temozolomide, 10.8078, -4.000000000
Lomustine, 10.0698, -4.182800000
Thioguanine, 9.91445, -5.706950515
Cyclophosphamide, 9.70658, -3.602100000
Dacarbazine, 9.65297, -4.423378261
Busulfan, 9.02106, -3.701040000
Carmustine, 8.846739999999999, -4.080919565
Fluorouracil, 8.737789999999999, -5.016267668
Mercaptopurine, 8.716000000000001, -5.214966304
Thiotepa, 7.90977, -4.874327723
Mechlorethamine, 7.2013, -6.317082143
Hydroxyurea, 7.12533, -3.970241176
