SAMPLE_ID, SAMPLE_NAME, GENE_NAME, REGULATION, Z_SCORE
905936,HCT-116,PROM2,normal,       0.202
905936,HCT-116,MANSC1,normal,      -0.113
905936,HCT-116,DRICH1,normal,       0.566
905936,HCT-116,SLC6A11,normal,      -0.943
905936,HCT-116,HEATR6,over,       2.417
905936,HCT-116,BRWD3,normal,      -0.637
905936,HCT-116,GRM3,under,      -2.050
905936,HCT-116,CHCHD1,normal,      -0.158
905936,HCT-116,ST3GAL6,normal,       0.712
905936,HCT-116,ATP10A,normal,      -1.264
905936,HCT-116,REV1,normal,       0.681
905936,HCT-116,EGLN3,normal,       0.335
905936,HCT-116,SLC10A6,normal,      -1.367
905936,HCT-116,BMI1,normal,       0.102
905936,HCT-116,ARFGEF3,normal,       0.371
905936,HCT-116,OR2A5,normal,      -0.264
905936,HCT-116,FKBP1B,normal,       0.984
905936,HCT-116,SPATA21,normal,      -1.200
905936,HCT-116,GNB5,normal,       0.559
905936,HCT-116,UROS,normal,       0.741
905936,HCT-116,ZNF517,normal,       0.391
905936,HCT-116,KISS1,normal,      -0.198
905936,HCT-116,CEP120,normal,       0.909
905936,HCT-116,TAB1,normal,       0.269
905936,HCT-116,PCDHGA5,normal,      -0.261
905936,HCT-116,HYDIN,normal,      -1.458
905936,HCT-116,ZNF843,normal,       0.483
905936,HCT-116,PKMYT1,normal,      -0.647
905936,HCT-116,HIC1,normal,      -0.627
905936,HCT-116,BRF2,normal,      -1.233
905936,HCT-116,SPG11,normal,      -0.098
905936,HCT-116,AP2S1,normal,       0.789
905936,HCT-116,CBFA2T3,normal,       0.930
905936,HCT-116,GFRA3,normal,      -0.878
905936,HCT-116,HSD3B7,normal,      -0.615
905936,HCT-116,AP3M2,normal,       0.407
905936,HCT-116,TFR2,normal,       0.669
905936,HCT-116,MAMDC4,normal,       1.184
905936,HCT-116,LDLRAP1,normal,       0.101
905936,HCT-116,OR4E2,normal,      -1.786
905936,HCT-116,CDK10,over,       2.120
905936,HCT-116,ITGAE,normal,      -0.115
905936,HCT-116,IGFBP4,under,      -2.565
905936,HCT-116,UBXN10,normal,      -0.646
905936,HCT-116,CFL2,normal,      -0.075
905936,HCT-116,RYBP,normal,       0.717
905936,HCT-116,HSF1,normal,       1.396
905936,HCT-116,TMEM204,normal,      -0.676
905936,HCT-116,SEPHS2,normal,       1.282
905936,HCT-116,ANGPTL6,normal,      -1.097
905936,HCT-116,GRXCR1,normal,       1.066
905936,HCT-116,SRPK2,normal,       0.001
905936,HCT-116,HYOU1,over,       2.031
905936,HCT-116,UBE2Q2,normal,      -0.365
905936,HCT-116,NOTCH1,normal,       0.640
905936,HCT-116,PLCG1,normal,      -0.807
905936,HCT-116,TTC17,normal,       1.119
905936,HCT-116,IL36A,normal,      -1.416
905936,HCT-116,ZNF688,normal,      -1.972
905936,HCT-116,UBE2I,normal,       0.113
905936,HCT-116,PARD3_ENST00000374790,normal,       0.328
905936,HCT-116,ADGRG4_ENST00000370652,normal,       0.901
905936,HCT-116,SWI5,normal,       0.188
905936,HCT-116,CAMKK1,normal,       0.733
905936,HCT-116,POLR2L,normal,       0.234
905936,HCT-116,GJD2,normal,      -0.890
905936,HCT-116,ZNF516,normal,       0.150
905936,HCT-116,DLX3,normal,      -1.357
905936,HCT-116,NUP210,normal,       0.351
905936,HCT-116,ALKAL1_ENST00000523939,normal,      -0.587
905936,HCT-116,CKAP2L,normal,      -0.732
905936,HCT-116,PAH,normal,       0.934
905936,HCT-116,HS3ST1,over,       2.446
905936,HCT-116,PMS2,normal,       0.962
